week_start,commits,significant_lines_changed,additions,deletions,prs,average_pr_size,median_pr_size,q1_pr_size,q3_pr_size,total_pr_size,max_pr_size
2021-03-08,304,18253,11458,6795,23,109.39,22.0,2.0,129.5,2516,529
2021-03-15,341,19863,12751,7112,16,210.5,67.0,14.25,153.25,3368,1612
2021-03-22,357,18886,12701,6185,1,22.0,22.0,22.0,22.0,22,22
2021-03-29,371,69016,48727,20289,0,0.0,0.0,0.0,0.0,0,0
2021-04-05,418,27468,15541,11927,0,0.0,0.0,0.0,0.0,0,0
2021-04-12,491,26576,15259,11317,0,0.0,0.0,0.0,0.0,0,0
2021-04-19,523,27573,15644,11929,0,0.0,0.0,0.0,0.0,0,0
2021-04-26,337,11286,6720,4566,0,0.0,0.0,0.0,0.0,0,0
2021-05-03,456,27473,15261,12212,0,0.0,0.0,0.0,0.0,0,0
2021-05-10,346,18229,11228,7001,0,0.0,0.0,0.0,0.0,0,0
2021-05-17,409,28624,18666,9958,0,0.0,0.0,0.0,0.0,0,0
2021-05-24,403,25596,16438,9158,0,0.0,0.0,0.0,0.0,0,0
2021-05-31,373,13103,7379,5724,0,0.0,0.0,0.0,0.0,0,0
2021-06-07,419,19241,11468,7773,0,0.0,0.0,0.0,0.0,0,0
2021-06-14,393,23326,15227,8099,0,0.0,0.0,0.0,0.0,0,0
2021-06-21,365,15105,10211,4894,0,0.0,0.0,0.0,0.0,0,0
2021-06-28,326,12397,8859,3538,0,0.0,0.0,0.0,0.0,0,0
2021-07-05,269,22533,11497,11036,0,0.0,0.0,0.0,0.0,0,0
2021-07-12,301,14890,9155,5735,5,181.8,194.0,159.0,220.0,909,306
2021-07-19,286,25090,14870,10220,7,71.14,4.0,2.5,39.0,498,409
2021-07-26,191,6502,5032,1470,0,0.0,0.0,0.0,0.0,0,0
2021-08-02,265,22558,11714,10844,26,81.69,16.0,6.5,38.0,2124,754
2021-08-09,193,8361,5673,2688,14,98.07,43.5,6.0,114.5,1373,463
2021-08-16,311,16968,10684,6284,17,192.18,69.0,7.0,222.0,3267,1321
2021-08-23,237,5502,3524,1978,11,32.27,18.0,8.0,30.5,355,124
2021-08-30,261,20404,12395,8009,30,182.57,27.0,12.25,72.5,5477,2689
2021-09-06,215,7803,4846,2957,22,67.86,38.0,4.75,95.75,1493,244
2021-09-13,254,17191,10339,6852,25,201.24,144.0,65.0,272.0,5031,753
2021-09-20,297,17554,12195,5359,27,238.81,60.0,31.5,280.0,6448,2040
2021-09-27,254,5806,3739,2067,15,26.13,6.0,2.5,26.5,392,191
2021-10-04,153,5972,3849,2123,12,14.0,10.5,4.5,14.0,168,55
2021-10-11,282,12644,9105,3539,21,236.48,18.0,3.0,122.0,4966,1709
2021-10-18,243,30901,19873,11028,34,169.15,20.5,9.25,259.25,5751,831
2021-10-25,229,11524,6500,5024,28,46.82,9.0,4.5,36.0,1311,575
2021-11-01,329,17998,10348,7650,26,104.35,33.0,6.0,76.0,2713,964
