week_start,commits,significant_lines_changed,additions,deletions,prs,average_pr_size,median_pr_size,q1_pr_size,q3_pr_size,total_pr_size,max_pr_size
2025-08-11,133,106698,103870,2828,46,42.74,9.0,4.0,37.75,1966,421
2025-08-18,105,7528,5160,2368,40,51.08,9.5,4.0,31.25,2043,941
2025-08-25,110,12849,5093,7756,32,16.41,12.0,4.75,24.5,525,71
2025-09-01,127,14569,7645,6924,25,222.2,12.0,2.0,39.0,5555,4886
2025-09-08,121,15485,10503,4982,28,168.96,7.0,4.0,39.0,4731,3477
2025-09-15,141,62352,45676,16676,23,1165.91,13.0,9.5,71.0,26816,23259
2025-09-22,113,24451,13042,11409,15,53.0,8.0,2.5,21.0,795,576
2025-09-29,122,18763,15430,3333,21,243.38,6.0,3.0,33.0,5111,4302
2025-10-06,132,13943,10613,3330,14,23.07,3.0,2.0,10.75,323,240
2025-10-13,131,19717,14830,4887,36,57.69,13.0,2.75,37.0,2077,991
2025-10-20,129,12545,8119,4426,39,101.49,28.0,7.5,63.5,3958,1151
2025-10-27,260,81974,46875,35099,41,819.02,27.0,14.0,60.0,33580,22326
2025-11-03,283,36136,19257,16879,22,27.14,8.0,2.25,28.0,597,205
2025-11-10,185,12774,7256,5518,48,55.73,26.0,10.0,76.25,2675,271
2025-11-17,292,30452,21189,9263,67,184.54,17.0,4.0,52.5,12364,4538
2025-11-24,240,12743,9721,3022,56,103.25,13.5,7.75,40.5,5782,3248
2025-12-01,276,196046,98344,97702,61,520.82,18.0,6.0,94.0,31770,12132
2025-12-08,613,328725,163530,165195,56,218.93,14.5,6.0,45.5,12260,3148
2025-12-15,459,23092,17159,5933,90,73.27,28.0,5.0,77.0,6594,474
2025-12-22,317,23895,16852,7043,91,80.32,19.0,6.0,90.5,7309,1164
2025-12-29,387,32351,23105,9246,116,106.7,11.0,3.0,46.75,12377,5138
2026-01-05,323,70778,65042,5736,127,76.71,11.0,5.0,47.5,9742,1732
2026-01-12,520,53936,37656,16280,167,161.7,19.0,5.5,128.5,27004,5230
2026-01-19,653,45006,35647,9359,149,72.11,12.0,4.0,33.0,10745,1308
2026-01-26,462,83814,51640,32174,126,133.44,19.0,6.25,77.25,16813,2384
2026-02-02,320,58659,40703,17956,180,265.23,25.0,6.0,107.75,47741,15220
2026-02-09,297,293853,251373,42480,128,1736.46,25.5,7.0,137.0,222267,192716
2026-02-16,349,176488,113999,62489,153,202.84,20.0,7.0,111.0,31035,8696
2026-02-23,164,51691,37283,14408,87,440.11,34.0,7.0,118.5,38290,9390
2026-03-02,267,45770,34254,11516,81,383.85,49.0,7.0,154.0,31092,6860
2026-03-09,225,52492,33174,19318,111,391.23,56.0,14.0,296.0,43427,7364
2026-03-16,171,39750,22923,16827,97,340.22,64.0,13.0,212.0,33001,8138
2026-03-23,223,58926,40531,18395,141,364.32,42.0,8.0,163.0,51369,11266
2026-03-30,200,245185,143518,101667,138,1297.59,86.5,18.0,258.75,179067,81366
2026-04-06,212,281748,143431,138317,137,1083.09,79.0,23.0,147.0,148383,66218
2026-04-13,523,119068,70068,49000,351,264.33,77.0,12.5,282.5,92781,8908
2026-04-20,268,44879,34223,10656,149,170.75,72.0,13.0,187.0,25442,3516
2026-04-27,335,105088,65384,39704,221,314.87,63.0,20.0,179.0,69586,18040
2026-05-04,329,121222,80571,40651,192,577.21,71.0,19.0,200.5,110824,22121
2026-05-11,486,384840,232745,152095,337,857.2,70.0,27.0,162.0,288876,151334
2026-05-18,317,107285,85047,22238,186,505.72,107.0,29.0,311.5,94063,20915
2026-05-25,125,29037,25512,3525,68,372.1,125.0,30.0,398.75,25303,8991
