week_start,commits,significant_lines_changed,additions,deletions,prs,average_pr_size,median_pr_size,q1_pr_size,q3_pr_size,total_pr_size,max_pr_size
2026-04-13,6,378,356,22,0,0.0,0.0,0.0,0.0,0,0
2026-04-20,4,212,190,22,0,0.0,0.0,0.0,0.0,0,0
2026-04-27,39,5482,5275,207,2,327.5,327.5,240.75,414.25,655,501
2026-05-04,2656,3980601,3852116,128485,97,333.51,70.0,3.0,215.0,32350,9762
2026-05-11,4897,1451106,872990,578116,473,301.3,143.0,39.0,362.0,142513,3685
2026-05-18,1456,419611,335096,84515,528,338.99,129.0,52.0,274.75,178987,20836
2026-05-25,1179,435242,309946,125296,232,964.74,209.0,81.75,455.0,223819,94824
