week_start,commits,significant_lines_changed,additions,deletions,prs,average_pr_size,median_pr_size,q1_pr_size,q3_pr_size,total_pr_size,max_pr_size
2025-12-22,151,54090,19655,34435,151,358.21,36.0,6.0,162.5,54090,23678
2025-12-29,106,12064,8541,3523,106,113.81,36.0,13.0,109.5,12064,1793
2026-01-05,316,50765,34738,16027,316,160.65,41.5,9.0,122.25,50765,1512
2026-01-12,299,42888,27726,15162,299,143.44,50.0,11.0,168.0,42888,1577
2026-01-19,255,57762,37408,20354,254,227.4,37.0,9.0,149.5,57760,14211
2026-01-26,331,70878,44911,25967,331,214.13,37.0,7.0,154.0,70878,14211
2026-02-02,342,61412,35892,25520,342,179.57,63.5,16.0,160.5,61412,13969
2026-02-09,308,67857,47982,19875,308,220.31,62.5,16.0,211.75,67857,5928
2026-02-16,273,40557,29102,11455,273,148.56,53.0,12.0,147.0,40557,3447
2026-02-23,352,88852,51774,37078,352,252.42,67.5,23.75,284.25,88852,2218
2026-03-02,381,55660,37342,18318,378,147.15,46.5,14.0,135.75,55624,2216
2026-03-09,343,47665,30028,17637,343,138.97,49.0,16.0,131.0,47665,2082
2026-03-16,367,57690,38860,18830,367,157.19,69.0,20.5,172.0,57690,1978
2026-03-23,385,127990,79957,48033,384,333.3,57.5,19.0,155.0,127989,20440
2026-03-30,373,66885,44368,22517,372,179.79,49.5,8.0,182.75,66881,3478
2026-04-06,306,62062,41844,20218,306,202.82,60.5,15.0,161.0,62062,11725
2026-04-13,367,56586,37291,19295,367,154.19,72.0,15.0,209.5,56586,1434
2026-04-20,426,80749,50983,29766,425,189.97,51.0,15.0,186.0,80738,4047
2026-04-27,410,81838,47178,34660,410,199.6,39.0,10.0,171.0,81838,20106
2026-05-04,501,99011,57422,41589,501,197.63,54.0,16.0,205.0,99011,7198
2026-05-11,457,90900,55012,35888,457,198.91,49.0,14.0,197.0,90900,2218
2026-05-18,438,80909,55931,24978,437,185.13,62.0,18.0,159.0,80903,3267
2026-05-25,111,17933,10654,7279,111,161.56,63.0,12.5,127.5,17933,3293
